"Name","Debut","Final","Position","Height","Weight","Birthday","School","HOF","Active","G","PTS","TRB","AST","FG.","FG3.","FT.","eFG.","PER","WS","RowNumber"
"Granville Waiters",1984,1988,"['Center']",83,225,"January 8, 1961","['Ohio State']","False","False",249,2.4,2.2,0.5,45.8,0,55.9,45.8,8.3,1.9,4872
"Andre Wakefield",1979,1980,"['Guard']",75,175,"January 11, 1955","['Loyola Chicago']","False","False",81,2.3,1,0.9,35.4,NA,70.8,35.4,4.4,-1.1,4873
"Neal Walk",1970,1977,"['Center']",82,220,"July 29, 1948","['Florida']","False","False",568,12.6,7.7,2.1,45.9,NA,75.8,NA,16.9,30.3,4874
"Andy Walker",1977,1977,"['Guard']",76,190,"March 25, 1955","['Niagara University']","False","False",40,4.5,1.9,0.8,46.2,NA,76.6,NA,13,0.7,4875
"Antoine Walker",1997,2008,"['Forward']",81,224,"August 12, 1976","['Kentucky']","False","False",893,17.5,7.7,3.5,41.4,32.5,63.3,46.1,16,38.1,4876
"Brady Walker",1949,1952,"['Forward', 'Center']",78,205,"March 15, 1921","['BYU']","False","False",228,7,5.4,1.4,38,NA,63.3,NA,15.6,6.9,4877
"Chet Walker",1963,1975,"['Forward', 'Guard']",79,212,"February 22, 1940","['Bradley']","True","False",1032,18.2,7.1,2.1,47,NA,79.6,NA,17.6,117.4,4878
"Darrell Walker",1984,1993,"['Guard']",76,180,"March 9, 1961","['Arkansas']","False","False",720,8.9,4.4,4.6,43.5,5.9,71.3,43.5,13.7,27.4,4879
"Foots Walker",1975,1984,"['Guard']",72,184,"May 21, 1951","['Vincennes University', ' West Georgia']","False","False",658,6.4,2.6,4.7,43.5,22.7,76.2,43.6,13.7,31,4880
"Henry Walker",2009,2015,"['Forward']",78,220,"October 9, 1987","['Kansas State']","False","False",181,6,2.2,0.8,44.6,36.9,76,55.6,10.8,5,4881
"Horace Walker",1962,1962,"['Forward']",75,210,"April 17, 1937","['Michigan State']","False","False",65,6.7,7.2,1.1,33.9,NA,72.5,NA,10.4,0.3,4882
"Jabari Walker",2023,2025,"['Forward']",81,215,"July 30, 2002","['Colorado']","False","True",188,6.2,4.5,0.8,46.5,31.8,73.9,51,12.8,5.1,4883
"Jarace Walker",2024,2025,"['Forward']",80,240,"September 4, 2003","['Houston']","False","True",108,5.4,2.7,1.4,45.7,40.4,69.2,56.1,11.9,2,4884
"Jimmy Walker",1968,1976,"['Guard']",75,195,"April 8, 1944","['Providence']","False","False",698,16.7,2.7,3.5,46.1,NA,82.9,NA,14.4,42.9,4885
"Kemba Walker",2012,2023,"['Guard']",72,184,"May 8, 1990","['UConn']","False","False",750,19.3,3.8,5.3,41.8,36,84,48.8,19.1,59.8,4886
"Kenny Walker",1987,1995,"['Forward']",80,210,"August 18, 1964","['Kentucky']","False","False",448,7,4,0.7,48.5,20.6,74.9,48.7,11.9,17.9,4887
"Lonnie Walker IV",2019,2025,"['Guard']",76,204,"December 14, 1998","['Miami (FL)']","False","True",342,10,2.3,1.5,42.2,35.6,79.5,50.4,11.6,4.9,4888
"M.J. Walker",2022,2022,"['Guard']",77,213,"March 28, 1998","['Florida State']","False","True",2,0,0.5,0.5,0,0,NA,0,-3.3,0,4889
"Phil Walker",1978,1978,"['Guard']",75,180,"March 20, 1956","['Millersville']","False","False",40,4.5,1.3,1.4,35.4,NA,66.7,NA,9,-0.4,4890
"Samaki Walker",1997,2006,"['Forward']",81,240,"February 25, 1976","['Louisville']","False","False",445,5.3,4.7,0.6,46.2,11.1,63,46.2,12.7,14.2,4891
"Wally Walker",1977,1984,"['Forward']",79,190,"July 18, 1954","['Virginia']","False","False",565,7,3.1,1.5,46.7,20,64.3,46.7,11.4,12.9,4892
"John Wall",2011,2023,"['Guard']",75,210,"September 6, 1990","['Kentucky']","False","True",647,18.7,4.2,8.9,43,32.2,77.6,46.2,19,44.5,4893
"Ben Wallace",1997,2012,"['Forward', 'Center']",81,240,"September 10, 1974","['Cuyahoga Community College', ' Virginia Union University']","True","False",1088,5.7,9.6,1.3,47.4,13.7,41.4,47.5,15.5,93.5,4894
"Cason Wallace",2024,2025,"['Guard']",76,205,"November 7, 2003","['Kentucky']","False","True",150,7.5,2.8,2,48.2,38.9,79.7,57.5,12.1,9.2,4895
"Gerald Wallace",2002,2015,"['Forward']",79,215,"July 23, 1982","['Alabama']","False","False",832,11.9,5.8,2.1,46.9,31.2,70.9,49.6,16.3,59.7,4896
"John Wallace",1997,2004,"['Forward']",80,225,"February 9, 1974","['Syracuse']","False","False",381,7.6,2.8,0.7,46.2,30,74,46.5,14,6.4,4897
"Keaton Wallace",2025,2025,"['Guard']",75,195,"February 26, 1999","['Texas-San Antonio']","False","True",31,5.4,1.6,2.6,40.1,32.9,100,48.5,10.1,0.4,4898
"Rasheed Wallace",1996,2013,"['Forward', 'Center']",83,225,"September 17, 1974","['UNC']","False","False",1109,14.4,6.7,1.8,46.7,33.6,72.1,50.7,17,105.1,4899
"Red Wallace",1947,1947,"['Guard']",73,185,"July 12, 1918","['University of Scranton']","False","False",61,9.1,NA,1,27.8,NA,54.1,NA,NA,1.9,4900
"Tyrone Wallace",2018,2022,"['Guard']",77,198,"June 10, 1994","['California']","False","False",112,5.1,2.1,1.1,42.2,20.7,65.6,43.8,8.1,0.1,4901
"Dwight Waller",1969,1972,"['Forward']",78,220,"October 5, 1945","['Tennessee State']","False","False",20,2,2.7,0.3,37.8,0,46.2,37.8,7.1,0.1,4902
"Jamie Waller",1988,1988,"['Guard']",76,215,"November 20, 1964","['Virginia Union University']","False","False",9,4.7,1.4,0.3,40,0,55.6,40,7.1,-0.2,4903
"Jim Walsh",1958,1958,"['Forward']",76,195,"August 29, 1930","['Stanford']","False","False",10,2,1.5,0.8,18.5,NA,58.8,NA,5,-0.2,4904
"Jordan Walsh",2024,2025,"['Guard', 'Forward']",79,205,"March 3, 2004","['Arkansas']","False","True",61,1.6,1.5,0.4,36.7,26.6,57.1,45.4,7.2,0.5,4905
"Matt Walsh",2006,2006,"['Guard', 'Forward']",78,205,"December 2, 1982","['Florida']","False","False",2,1,0,0,100,NA,0,100,-2.4,0,4906
"Ja'Kobe Walter",2025,2025,"['Guard']",77,180,"September 4, 2004","['Baylor']","False","True",52,8.6,3.1,1.6,40.5,34.9,79.5,48.7,10.8,1.2,4907
"Rex Walters",1994,2000,"['Guard']",76,190,"March 12, 1970","['Northwestern', ' Kansas']","False","False",335,4.6,1.2,1.7,44.1,36.1,80.9,51.4,11.2,6.3,4908
"Paul Walther",1950,1955,"['Guard', 'Forward']",74,160,"March 23, 1927","['Tennessee']","False","False",370,7.7,3.7,2.6,36.2,NA,70.8,NA,13,20.3,4909
"Isaac Walthour",1954,1954,"['Guard']",71,163,"August 25, 1930","","False","False",4,0.5,0.3,0.5,16.7,NA,NA,NA,-5.4,-0.1,4910
"Bill Walton",1975,1987,"['Center', 'Forward']",83,210,"November 5, 1952","['UCLA']","True","False",468,13.3,10.5,3.4,52.1,0,66,52.1,20,39.3,4911
"Derrick Walton",2018,2022,"['Guard']",72,189,"April 3, 1995","['Michigan']","False","False",45,2.2,0.9,1.4,35.6,37,89.5,46.7,8.9,0.8,4912
"Lloyd Walton",1977,1981,"['Guard']",72,160,"November 23, 1953","['Marquette']","False","False",341,4.2,1.1,3.6,45.4,25,71.1,45.5,11.4,5.2,4913
"Luke Walton",2004,2013,"['Forward']",80,235,"March 28, 1980","['Arizona']","False","False",564,4.7,2.8,2.3,42.9,32.6,71.5,46.6,11.7,13.5,4914
"Brad Wanamaker",2019,2022,"['Guard']",75,210,"July 25, 1989","['Pitt']","False","False",191,5.5,1.7,2.4,42.1,30,90.7,46.4,11.3,5.4,4915
"Bobby Wanzer",1949,1957,"['Guard']",72,170,"June 4, 1921","['Seton Hall']","True","False",569,12.2,4.5,3.2,39.3,NA,80.2,NA,17.3,63.9,4916
"Perry Warbington",1975,1975,"['Guard']",74,165,"September 7, 1952","['Georgia Southern University']","False","False",5,2,1.6,3.2,19,NA,100,NA,3.1,-0.3,4917
"Charlie Ward",1995,2005,"['Guard']",74,190,"October 12, 1970","['Florida State']","False","False",630,6.3,2.6,4,40.8,36.4,77.1,50.2,13.8,33,4918
"Gerry Ward",1964,1967,"['Guard']",76,195,"September 6, 1941","['Boston College']","False","False",169,3.2,1.7,1.4,35.6,NA,63.9,NA,6.6,1,4919
"Henry Ward",1976,1977,"['Guard', 'Forward']",76,195,"January 30, 1952","['Jackson State University']","False","False",88,4.7,2,0.5,44.4,26.1,70.5,45.2,11.3,0.6,4920
"Casper Ware",2014,2014,"['Guard']",70,175,"January 17, 1990","['Cal State Long Beach']","False","False",9,5.3,1,1.1,42.9,33.3,83.3,51.2,13,0.2,4921
"Jim Ware",1967,1969,"['Forward']",79,210,"May 2, 1944","['Oklahoma City University']","False","False",64,2.3,2.4,0.2,29.3,NA,64.2,29.3,6.8,-1,4922
"Kel'el Ware",2025,2025,"['Center']",84,230,"April 20, 2004","['Oregon', ' Indiana']","False","True",64,9.3,7.4,0.9,55.4,31.5,68.7,59.2,17.4,4.1,4923
"Ben Warley",1963,1970,"['Forward', 'Guard']",77,200,"September 4, 1936","['Tennessee State']","False","False",436,8.5,5.6,0.8,41.8,28.4,75.1,43.4,14,16.4,4924
"Bob Warlick",1966,1970,"['Guard', 'Forward']",77,200,"March 20, 1941","['University of Southern Colorado', ' Pepperdine']","False","False",186,7.9,3,2.1,40.1,0,60.3,40.1,11.9,0.8,4925
"Cornell Warner",1971,1977,"['Forward', 'Center']",81,220,"August 12, 1948","['Jackson State University']","False","False",445,6.4,7.5,1.1,45.2,NA,67.2,NA,11.3,15.8,4926
"Jameel Warney",2018,2018,"['Forward']",80,260,"January 31, 1994","['Stony Brook University']","False","False",3,5.7,3,0,58.3,NA,60,58.3,22.6,0.1,4927
"Bob Warren",1969,1976,"['Guard']",77,190,"July 17, 1946","['Vanderbilt']","False","False",486,8.9,3.2,1.8,44,26.2,80.1,45.4,13,20.7,4928
"John Warren",1970,1974,"['Guard', 'Forward']",75,180,"July 7, 1947","[""St. John's""]","False","False",303,6,2.3,1.9,43,NA,82.7,NA,11.1,4.3,4929
"T.J. Warren",2015,2024,"['Forward']",80,220,"September 5, 1993","['NC State']","False","True",385,14.3,3.9,1.2,50.5,35.1,78,53.5,16.4,20.9,4930
"Willie Warren",2011,2011,"['Guard']",76,203,"October 22, 1989","['Oklahoma']","False","False",19,1.9,0.6,1.4,37.1,33.3,75,44.3,10.8,0.2,4931
"Bryan Warrick",1983,1986,"['Guard']",77,195,"July 22, 1959","[""Saint Joseph's""]","False","False",169,4,1.3,2.6,44.3,20.8,74.7,44.7,9,1.6,4932
"Hakim Warrick",2006,2013,"['Forward']",81,219,"July 8, 1982","['Syracuse']","False","False",526,9.4,4,0.8,49,19.1,72.6,49.3,15.5,20.4,4933
"Chris Washburn",1987,1988,"['Center']",83,225,"May 13, 1965","['NC State']","False","False",72,3.1,2.4,0.3,41.2,0,43.9,41.2,7.6,-0.6,4934
"Julian Washburn",2019,2019,"['Forward']",80,210,"December 18, 1991","['Texas-El Paso']","False","False",18,2.2,2.3,0.8,33.3,20.8,75,38.5,6.5,0.1,4935
"Bobby Washington",1970,1972,"['Guard']",71,175,"July 11, 1947","['Eastern Kentucky University']","False","False",118,5.9,2,3.5,39.7,NA,77.6,39.7,14.4,2.1,4936
"Darius Washington",2008,2008,"['Guard']",74,195,"December 6, 1985","['Memphis']","False","False",18,2.9,1.1,0.8,43.8,33.3,53.8,47.9,9,0,4937
"Don Washington",1975,1976,"['Forward']",80,210,"April 22, 1952","['UNC']","False","False",56,3.9,1.8,0.6,45.3,0,67.9,45.3,9.5,0.4,4938
"Duane Washington",1988,1993,"['Guard']",76,195,"August 31, 1964","['Middle Tennessee']","False","False",19,2.8,1.3,2.1,38.3,50,80,40.4,13.4,0.4,4939
"Duane Washington Jr.",2022,2023,"['Guard']",75,210,"March 24, 2000","['Ohio State']","False","True",79,9.1,1.5,1.9,39.1,37.1,72.9,48,10,-0.6,4940
"Eric Washington",1998,1999,"['Guard']",76,190,"March 23, 1974","['Alabama']","False","False",104,6.9,2.1,1,40.2,34.6,75.7,46.1,9.5,0.1,4941
"Jim Washington",1966,1976,"['Forward', 'Center']",78,210,"July 1, 1943","['Villanova']","False","False",774,10.6,8.6,1.4,44.9,NA,70.5,NA,12.6,39.3,4942
"Kermit Washington",1974,1988,"['Forward', 'Center']",80,230,"September 17, 1951","['American University']","False","False",507,9.2,8.3,1.4,52.6,0,65.6,52.6,16,36,4943
"P.J. Washington",2020,2025,"['Forward']",79,230,"August 23, 1998","['Kentucky']","False","True",390,13.1,5.9,2.3,44.8,35.8,70.9,52.8,13,14.8,4944
"Pearl Washington",1987,1989,"['Guard']",74,190,"January 6, 1964","['Syracuse']","False","False",194,8.6,1.9,3.8,45.2,18.4,74.6,45.8,12.4,1.9,4945
"Richard Washington",1977,1982,"['Forward', 'Center']",83,220,"July 15, 1955","['UCLA']","False","False",351,9.8,6.3,1.2,45.3,25,71.1,45.3,13.3,10.8,4946
"Stan Washington",1975,1975,"['Guard']",76,190,"January 23, 1952","['University of San Diego']","False","False",1,0,0,0,0,NA,NA,NA,-10.3,0,4947
"Trooper Washington",1968,1973,"['Forward', 'Center']",79,215,"April 21, 1944","['Cheyney (PA)']","False","False",426,10.6,10,2.4,53.2,33.3,61.5,53.2,14.7,33.1,4948
"TyTy Washington Jr.",2023,2025,"['Guard']",75,197,"November 15, 2001","['Kentucky']","False","True",58,3.3,1.1,1.2,34.7,23.4,54.2,40.2,7,-0.4,4949
"Wilson Washington",1978,1979,"['Forward', 'Center']",81,227,"August 3, 1955","['Old Dominion']","False","False",100,7.3,4.5,0.6,49.7,NA,60.5,NA,12.4,2.1,4950
"Yuta Watanabe",2019,2024,"['Forward']",81,215,"October 13, 1994","['George Washington']","False","True",213,4.2,2.3,0.6,42.6,37,67.5,52.8,10.3,4.2,4951
"Lindy Waters III",2022,2025,"['Guard']",78,215,"July 28, 1997","['Oklahoma State']","False","True",156,5.2,1.9,0.8,39.9,36.6,78.9,55,11.4,3.8,4952
"Tremont Waters",2020,2022,"['Guard']",70,175,"January 10, 1998","['LSU']","False","True",40,3.7,0.9,2.1,35.4,29.6,96,42.5,10.5,0.1,4953
"Trendon Watford",2022,2025,"['Forward']",81,240,"November 9, 2000","['LSU']","False","True",217,7.9,3.6,1.9,52,34.9,75.8,55.6,14.4,6.4,4954
"Darryl Watkins",2008,2012,"['Center']",83,258,"November 8, 1984","['Syracuse']","False","False",14,2.5,2.8,0.2,41.4,NA,47.8,41.4,6.5,-0.1,4955
"Anton Watson",2025,2025,"['Forward']",80,225,"October 6, 2000","['Gonzaga']","False","True",9,0.9,0.3,0.2,44.4,0,NA,44.4,5.9,0,4956
"Bobby Watson",1955,1955,"['Guard']",72,160,"March 22, 1930","['Kentucky']","False","False",63,2.8,1.4,1.3,32.3,NA,68.9,NA,8,-0.1,4957
"C.J. Watson",2008,2017,"['Guard']",74,175,"April 17, 1984","['Tennessee']","False","False",600,7.2,1.9,2.5,41.9,37.3,81.2,48.4,13.1,24.1,4958
"Earl Watson",2002,2014,"['Guard']",73,195,"June 12, 1979","['UCLA']","False","False",878,6.4,2.3,4.4,41.1,32.4,70.3,46,12.1,19.2,4959
"Jamie Watson",1995,1999,"['Forward']",79,190,"February 23, 1972","['South Carolina']","False","False",102,3.2,1.5,1.1,46.8,31.6,69.4,49.1,9.2,1.2,4960
"Paul Watson",2020,2022,"['Guard']",78,210,"December 30, 1994","['Fresno State']","False","False",46,3.8,1.9,0.7,42,39.2,68.4,55.9,9.7,0.8,4961
"Peyton Watson",2023,2025,"['Guard', 'Forward']",80,200,"September 11, 2002","['UCLA']","False","True",171,6.8,3.1,1.1,47.2,32.8,67.3,52.5,11.6,5.3,4962
"Ron Watts",1966,1967,"['Forward']",78,210,"May 21, 1943","['Wake Forest']","False","False",28,1.4,1.4,0.1,26.1,NA,69.6,NA,8.9,-0.1,4963
"Sam Watts",1971,1971,"['Guard']",75,185,"March 14, 1948","['Florida A&M', ' University of Great Falls']","False","False",54,5.2,1.8,0.8,38,34.1,73.1,40.4,6.9,0,4964
"Slick Watts",1974,1979,"['Guard']",73,175,"July 22, 1951","['Xavier University of Louisiana']","False","False",437,8.9,3.2,6.1,41.3,NA,59.7,NA,14.9,13.8,4965
"Maalik Wayns",2013,2014,"['Guard']",74,200,"May 2, 1991","['Villanova']","False","False",29,2.7,0.3,1,30,22.6,89.5,33.9,5.7,-0.3,4966
"David Wear",2015,2015,"['Forward']",82,230,"September 21, 1990","['UNC', ' UCLA']","False","False",2,0,1,0.5,0,0,NA,0,2.4,0,4967
"Travis Wear",2015,2018,"['Forward']",82,230,"September 21, 1990","['UNC', ' UCLA']","False","False",68,4,2.1,0.7,38.8,36.4,82.4,43.8,8.1,-0.1,4968
"Clarence Weatherspoon",1993,2005,"['Forward']",78,240,"September 8, 1970","['Southern Miss']","False","False",915,11.5,7.5,1.5,47.1,19.6,74.3,47.2,15.6,58.4,4969
"Nick Weatherspoon",1974,1980,"['Forward']",79,195,"July 20, 1950","['Illinois']","False","False",453,9,4.9,0.9,45.5,NA,71.3,45.5,12.8,15.2,4970
"Quinndary Weatherspoon",2020,2022,"['Guard']",75,205,"September 10, 1996","['Mississippi State']","False","True",42,2.1,0.8,0.6,45.2,18.8,82.6,47.3,8.4,0.2,4971
"Kyle Weaver",2009,2011,"['Guard']",78,201,"February 18, 1986","['Washington State']","False","False",73,5,2.2,1.6,44.1,35.3,73.6,51,10.3,1.5,4972
"James Webb III",2018,2018,"['Forward']",81,202,"August 19, 1993","['Boise State']","False","False",10,1.6,2.4,0.4,25,21.1,NA,33.3,2.2,-0.1,4973
"Jeff Webb",1971,1972,"['Guard']",76,170,"July 6, 1948","['Kansas State']","False","False",75,2.1,0.8,0.6,37.6,NA,71.1,NA,6.6,-0.1,4974
"Marcus Webb",1993,1993,"['Forward', 'Center']",81,255,"May 9, 1970","['Alabama']","False","False",9,4.3,1.1,0.2,52,0,61.9,52,20.1,0.1,4975
"Spud Webb",1986,1998,"['Guard']",66,133,"July 13, 1963","['Midland College', ' NC State']","False","False",814,9.9,2.1,5.3,45.2,31.4,84.8,47.7,15.1,40.2,4976
"Chris Webber",1994,2008,"['Forward', 'Center']",82,245,"March 1, 1973","['Michigan']","True","False",831,20.7,9.8,4.2,47.9,29.9,64.9,48.7,20.9,84.7,4977
"Briante Weber",2016,2018,"['Guard']",74,165,"December 29, 1992","['VCU']","False","False",45,3.2,1.9,1.4,40.8,19.2,73.3,42.6,10.1,0.6,4978
"Jake Weber",1947,1947,"['Center']",78,225,"March 18, 1918","['Purdue']","False","False",50,3.5,NA,0.1,29.2,NA,69.6,NA,NA,1.4,4979
"Elnardo Webster",1972,1972,"['Forward']",77,190,"March 6, 1948","['Wharton County Junior College', "" Saint Peter's College""]","False","False",24,5.1,1.8,0.7,45.9,25,72.4,46.3,9.2,0.5,4980
"Jeff Webster",1996,1996,"['Forward']",80,232,"February 19, 1971","['Oklahoma']","False","False",11,1.6,0.6,0.3,34.8,33.3,NA,39.1,7,0,4981
"Martell Webster",2006,2015,"['Guard', 'Forward']",79,230,"December 4, 1986","","False","False",580,8.7,3.1,1,41.8,38.2,79.1,51.5,11.7,24.7,4982
"Marvin Webster",1976,1987,"['Center']",85,225,"April 13, 1952","['Morgan State University']","False","False",617,7,6.8,1.2,48.8,28.6,62.1,48.8,13.8,29.4,4983
"Scott Wedman",1975,1987,"['Forward', 'Guard']",79,215,"July 29, 1952","['Colorado']","False","False",906,13.2,4.8,2,48.1,33.5,79.4,48.5,14.2,53.7,4984
"Sonny Weems",2009,2016,"['Guard', 'Forward']",78,205,"July 8, 1986","['Arkansas']","False","False",183,6.5,2.2,1.4,46.5,28.3,70.2,48,10.1,0,4985
"Dick Wehr",1949,1949,"['Forward']",76,180,"December 9, 1925","['Rice University']","False","False",9,1.3,NA,0.3,23.8,NA,33.3,NA,NA,-0.1,4986
"Brant Weidner",1984,1984,"['Forward']",81,230,"October 28, 1960","['William & Mary']","False","False",8,1,1.4,0,22.2,NA,100,22.2,5.4,0,4987
"Bob Weiss",1966,1977,"['Guard']",74,180,"May 7, 1942","['Penn State']","False","False",783,7.6,1.8,3.7,42.8,NA,82.8,NA,12.5,31.2,4988
"Rick Weitzman",1968,1968,"['Guard']",74,175,"April 30, 1946","['Northeastern University']","False","False",25,1.3,0.4,0.3,26.1,NA,69.2,NA,5.6,-0.3,4989
"Bonzi Wells",1999,2008,"['Guard', 'Forward']",77,210,"September 28, 1976","['Ball State University']","False","False",591,12.1,4.6,2.1,46,32.7,69.7,47.9,16.1,29.4,4990
"Bubba Wells",1998,1998,"['Forward']",77,230,"July 26, 1974","['Austin Peay State University']","False","False",39,3.3,1.7,0.9,41.4,16.7,72.1,41.8,11.1,0.1,4991
"Jaylen Wells",2025,2025,"['Forward']",79,206,"August 26, 2003","['Sonoma State University', ' Washington State']","False","True",79,10.4,3.4,1.7,42.5,35.2,82.2,52.7,10.5,3.5,4992
"Owen Wells",1975,1975,"['Forward']",79,200,"December 9, 1950","['Detroit Mercy']","False","False",33,3,1.1,0.7,42,NA,68.2,NA,12.9,0.1,4993
"Ralph Wells",1963,1963,"['Guard']",73,180,"September 3, 1940","['Northwestern']","False","False",3,0.7,2,2.3,14.3,NA,0,NA,-0.2,-0.2,4994
"Chris Welp",1988,1990,"['Center']",84,245,"January 2, 1964","['Washington']","False","False",109,3.3,2.4,0.4,44.6,0,68.1,44.6,8.7,1,4995
"Jiří Welsch",2003,2006,"['Guard']",79,208,"January 27, 1980","","False","False",247,6.1,2.4,1.5,40.3,34.3,75.2,44.9,11.2,5.7,4996
"Thomas Welsh",2019,2019,"['Center']",84,255,"February 3, 1996","['UCLA']","False","True",11,1.6,0.4,0.5,53.8,42.9,50,65.4,16.1,0.1,4997
"Victor Wembanyama",2024,2025,"['Center', 'Forward']",87,235,"January 4, 2004","","False","True",117,22.5,10.8,3.8,46.9,33.9,80.9,53.5,23.5,7.5,4998
"Bill Wennington",1986,2000,"['Center']",84,245,"April 26, 1963","[""St. John's""]","False","False",720,4.6,3,0.6,45.9,13.9,78.7,46,10.9,17.7,4999
"Matt Wenstrom",1994,1994,"['Center']",85,250,"November 4, 1970","['UNC']","False","False",11,1.6,1.1,0,60,NA,60,60,15.6,0.1,5000
"Robert Werdann",1993,1997,"['Center']",83,250,"September 12, 1970","[""St. John's""]","False","False",47,2.1,1.7,0.2,37.8,0,57.4,37.8,9.8,0.1,5001
"Ray Wertis",1947,1948,"['Guard']",71,NA,"July 30, 1923","[""St. John's""]","False","False",68,3.6,NA,0.7,21,NA,59,NA,NA,-1.4,5002
"Blake Wesley",2023,2025,"['Guard']",77,185,"March 16, 2003","['Notre Dame']","False","True",156,4.3,1.5,2.4,40.9,29.7,63.4,44.9,8.1,-0.5,5003
"David Wesley",1994,2007,"['Guard']",72,190,"November 14, 1970","['Baylor']","False","False",949,12.5,2.5,4.4,42.4,36.8,78.6,48,14.2,61.3,5004
"Walt Wesley",1967,1976,"['Center']",83,220,"January 25, 1945","['Kansas']","False","False",590,8.5,5.5,0.7,43.4,NA,63,NA,13.6,9.5,5005
"David West",2004,2018,"['Forward', 'Center']",81,250,"August 29, 1980","['Xavier']","False","False",1034,13.6,6.4,2.2,49.5,26.5,81.7,49.8,18.6,85.8,5006
"Delonte West",2005,2012,"['Guard']",76,180,"July 26, 1983","[""Saint Joseph's""]","False","False",432,9.7,2.9,3.6,44.8,37.2,82.6,50.1,13.9,24.5,5007
"Doug West",1990,2001,"['Guard', 'Forward']",78,200,"May 27, 1967","['Villanova']","False","False",676,9.6,2.5,1.9,48.1,19.1,80.1,48.4,11.5,17.7,5008
"Jerry West",1961,1974,"['Guard']",75,175,"May 28, 1938","['West Virginia']","True","False",932,27,5.8,6.7,47.4,NA,81.4,NA,22.9,162.6,5009
"Mario West",2008,2011,"['Guard']",77,210,"June 19, 1984","['Georgia Tech']","False","False",162,1,0.9,0.3,44.8,20,56.3,45.6,9.4,1.4,5010
"Mark West",1984,2000,"['Center', 'Forward']",82,230,"November 5, 1960","['Old Dominion']","False","False",1090,5.7,4.9,0.4,58,0,56.8,58,12,41.9,5011
"Roland West",1968,1968,"['Guard']",76,178,"June 6, 1944","['Cincinnati']","False","False",4,1,1.3,0,40,NA,NA,NA,6.8,0,5012
"Dexter Westbrook",1968,1968,"['Forward']",80,190,"","['Providence']","False","False",12,4,1.9,0.4,48.7,NA,71.4,48.7,7,0.3,5013
"Russell Westbrook",2009,2025,"['Guard']",76,200,"November 12, 1988","['UCLA']","False","True",1237,21.2,7,8,43.9,30.5,77.2,47.1,21.6,112.5,5014
"Paul Westphal",1973,1984,"['Guard']",76,195,"November 30, 1950","['USC']","True","False",823,15.6,1.9,4.4,50.4,27.5,82,50.6,19.4,67.7,5015
"John Wetzel",1968,1976,"['Guard', 'Forward']",77,190,"October 22, 1944","['Virginia Tech']","False","False",357,3.4,1.9,1.4,42.9,NA,81,NA,9.5,6.6,5016
"Robert Whaley",2006,2006,"['Center']",82,260,"April 16, 1982","['Barton County Community College', ' Cincinnati', ' Walsh University']","False","False",23,2.1,1.9,0.7,40.4,NA,50,40.4,7.6,0,5017
"Ennis Whatley",1984,1997,"['Guard']",75,177,"August 11, 1962","['Alabama']","False","False",385,5.6,1.8,4.6,46.8,9.7,75.5,46.9,13,9.6,5018
"DeJuan Wheat",1998,1999,"['Guard']",72,165,"October 14, 1973","['Louisville']","False","False",80,3.3,0.7,1.6,38.3,39,70,44.4,12.9,0.5,5019
"Clinton Wheeler",1988,1989,"['Guard']",73,185,"October 27, 1959","['William Paterson University']","False","False",87,2.9,0.8,1.8,48.9,0,74.1,48.9,12.3,1.1,5020
"Phillip Wheeler",2025,2025,"['Forward']",81,211,"April 23, 2002","","False","True",5,1.6,1.6,0.4,14.3,0,100,14.3,-2.3,-0.3,5021
"Tyson Wheeler",1999,1999,"['Guard']",70,165,"October 8, 1975","['Rhode Island']","False","False",1,4,0,2,100,100,50,150,76.1,0.1,5022
"Skippy Whitaker",1955,1955,"['Guard']",73,180,"August 29, 1930","['Kentucky']","False","False",3,0.7,0.3,0.3,16.7,NA,NA,NA,-8.9,-0.1,5023
"Andrew White",2018,2018,"['Guard']",79,210,"June 16, 1993","['Nebraska', ' Syracuse']","False","False",15,4.6,2.3,0.4,34.2,36.7,25,46.6,5.8,-0.1,5024
"Coby White",2020,2025,"['Guard']",77,195,"February 16, 2000","['UNC']","False","True",422,15.2,3.6,3.8,43.3,36.9,86.5,52.7,13.4,17.9,5025
"D.J. White",2009,2014,"['Forward']",81,251,"August 31, 1986","['Indiana']","False","False",138,5.9,3.2,0.6,50.7,33.3,72,50.7,14.5,3.8,5026
"Derrick White",2018,2025,"['Guard']",76,190,"July 2, 1994","['Colorado-Colorado Springs', ' Colorado']","False","True",494,13,3.7,4.2,44.8,36.9,85.2,54.4,15.8,39.7,5027
"Eric White",1988,1989,"['Forward']",80,200,"December 30, 1965","['Pepperdine']","False","False",55,6.1,2.4,0.5,52.5,100,79.8,52.7,12.5,1.3,5028
"Herb White",1971,1971,"['Guard']",74,195,"June 15, 1948","['Georgia']","False","False",38,2.4,1.3,1.2,40.5,NA,56.4,NA,8.4,0.1,5029
"Hubie White",1963,1971,"['Guard', 'Forward']",76,205,"January 26, 1940","['Villanova']","False","False",120,4.8,2.2,0.9,36.6,18,70.6,37.3,8.5,-0.8,5030
"Jack White",2023,2024,"['Forward']",79,225,"August 5, 1997","['Duke']","False","True",21,1.3,1.4,0.2,28.6,26.3,66.7,35.7,6.9,0,5031
